unique_id,accession_id,seq_name,organism,org_abv,country,loc_abv,type,continent,db
_198,OM203310.1,AmLi_CHN_N_198 #N:OM203310.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_199,OM203311.1,AmLi_CHN_N_199 #N:OM203311.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_200,OM203312.1,AmLi_CHN_N_200 #N:OM203312.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_201,OM203313.1,AmLi_CHN_N_201 #N:OM203313.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_202,OM203314.1,AmLi_CHN_N_202 #N:OM203314.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_203,OM203315.1,AmLi_CHN_N_203 #N:OM203315.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_204,OM203316.1,AmLi_CHN_N_204 #N:OM203316.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_205,OM203317.1,AmLi_CHN_N_205 #N:OM203317.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_206,OM203318.1,AmLi_CHN_N_206 #N:OM203318.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_207,OM203319.1,AmLi_CHN_N_207 #N:OM203319.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_208,OM203320.1,AmLi_CHN_N_208 #N:OM203320.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_209,OM203321.1,AmLi_CHN_N_209 #N:OM203321.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_210,OM203322.1,AmLi_CHN_N_210 #N:OM203322.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_211,OM203323.1,AmLi_CHN_N_211 #N:OM203323.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_212,OM203324.1,AmLi_CHN_N_212 #N:OM203324.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_213,OM203325.1,AmLi_CHN_N_213 #N:OM203325.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_214,OM203326.1,AmLi_CHN_N_214 #N:OM203326.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_215,OM203327.1,AmLi_CHN_N_215 #N:OM203327.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_216,OM203328.1,AmLi_CHN_N_216 #N:OM203328.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_217,OM203329.1,AmLi_CHN_N_217 #N:OM203329.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
